"id","description","allocation","agency_id","ministry_id","date_commissioned","location_type","location_id","status_id","type_id","user_id"
3053,"PROVISION OF GRANTS FOR TRAINING AND EMPOWERMENT OF WOMEN AND YOUTHS IN BURUKU FEDERAL CONSTITUENCY, BENUE
STATE.",40000000,29,35,1/29/2018,localGovernment,122,5,2,1
3054,"CONSTRUCTION OF PRIMARY HEALTH CARE CENTRE IN JOS NORTH LGA, PLATEAU NORTH SENATORIAL DISTRICT, PLATEAU STATE.",42420000,35,316,2017-01-01,localGovernment,654,5,2,1
3055,GRANT FOR MARKET WOMEN AND YOUTH EMPOWERMENT FOR SMALL AND MEDIUM SCALE ENTERPRISES IN NDOKWA/UKWUANI FEDERAL CONSTITUENCY OF DELTA STATE.,50000000,1,122,,localGovernment,193,1,2,1
3056,"SUPPLY OF OF SEWING MACHINES FOR DISTRIBUTION TO TRAINED TAILORS IN BOGORO/DASS/T/BALEWA FED. CONST, BAUCHI STATE",33000000,35,316,2019-06-01,localGovernment,94,5,2,1
3057,"WOMEN AND YOUTH EMPOWERMENT IN GWARZO/KABO FEDERAL CONSTITUENCY, KANO STATE",5000000,3,122,2017-01-01,localGovernment,373,5,2,1
3058,"COMPLETION OF 3 BLOCKS OF CLASSROOM (WITH VIP TOILET, FURNITURE AND BOREHOLE) AT LG PRIMARY SCHOOL, IGBESA, ADO ODO/OTTA LGA,  OGUN WEST SENATORIAL DISTRICT, OGUN STATE.",10000000,18,45,2015-01-01,localGovernment,550,1,2,1
3059,"EMPOWERMENT OF YOUTH & WOMEN IN MAKARFI/KUDAN FED. CONSTITUENCY,
KADUNA STATE",40000000,3,127,6/1/2019,localGovernment,348,5,2,1
3060,"CONSTRUCTION AND INSTALLATION OF SOLAR STREET LIGHTS IN KONTAGORA/MARIGA/MASHEGU/WUSHISHI, NIGER STATE",40000000,5,1,2017-01-01,localGovernment,533,5,2,1
3061,HIV AWARENESS CAMPAIGN AND FREE MEDICAL MISSION OUTREACH OLUYOLE LGA,24000000,29,194,2015-01-01,localGovernment,641,1,2,1
3062,"ENTREPRENEURSHIP TRAINING AND GRAND PROVISION FOR 200 WOMEN IN KEBBI SOUTH SENATORIAL DISTRICT, KEBBI
STATE",125000000,3,2,6/1/2019,localGovernment,787,5,2,1
3063,"SUPPLY OF BICYCLES IN BORNO NORTH SENATORIAL DISTRICT, BORNO STATE.",32222222,28,238,2017-01-01,localGovernment,774,1,2,1
3064,"SUPPLY & INSTALLATION OF 2 NO. OF 20FT CONTAINER COLD ROOM WITH 2 NOS. OF 30 KVA GENERATOR AT UGA & EKWULOBIA ABATTOIRS IN AGUATA FED. CONST., ANAMBRA STATE.",25000000,18,45,2016-01-01,localGovernment,71,6,2,1
3065,"STRATEGIC TRAINING & EMPOWERMENT FOR WOMEN IN KEBBI SOUTH SENATORIAL DISTRICT, KEBBI STATE",125000000,3,2,6/1/2019,localGovernment,787,5,2,1
3066,"PURCHASE OF MOTORCYCLES CG125 ROYAL BRAND IN DAnBATTA/MAKODA, KANO STATE",10000000,29,239,2016-01-01,localGovernment,361,1,2,1
3067,"POST-SEASIONAL AND ENTERPRENEURSHIP DEVELOPMENT TRAINING FOR UNEMPLOYED YOUTH AT IIDANRE/IFEDORE FEDERAL CONSTITUENCY, ONDO STATE",20000000,3,2,2016-01-01,localGovernment,576,5,2,1
3068,"COMPLETION OF THE CONSTRUCTION OF MEDIUM BASIC HEALTH CENTRES PROJECTS IN APONMU-LONA IDANRE IN ONDO CENTRAL SENATORIAL DISTRICT, ONDO STATE.",8000000,4,55,2015-01-01,localGovernment,576,1,2,1
3069,"SUPPLY OF MOTORCYCLES AT BAURE/ZANGO FED CONSTITUENCY,
KATSINA STATE",10000000,35,244,6/1/2019,localGovernment,432,2,2,1
3070,"CONSTRUCTION OF SOLAR POWERED BOREHOLES IN THE FOLLOWING LGAS OF NASARAWA STATE: ITTAH, NASARAWA LGA,  AKUM NASRAWA LGA, NIKORO, KOKONA LGA NASARAWA WEST SENATORIAL DISTRICT, NASARAWA STATE.@ 12,600,000 EACH.",37800000,28,240,2015-01-01,localGovernment,516,1,2,1
3071,"SUPPLY OF GENERATORS (5.5KVA) TO ABEOKUTA SOUTH FEDERAL CONSTITUENCY, OGUN STATE.",30000000,31,69,2017-01-01,localGovernment,549,5,2,1
3072,"PROVISION OF SEWING AND GRINDING MACHINES FOR WOMEN EMPOWERMENT IN EIGHT (8) LGAS OF BORNO CENTRAL SENATORIAL DISTRICT, BORNO STATE.",100000000,28,238,2017-01-01,localGovernment,774,1,2,1
3073,"SUPPLY OF MOTORCYCLES AT WUKARI LGA, TARABA STATE",45834000,3,122,2015-01-01,localGovernment,726,1,2,1
3074,MEDICAL MISSION KAURA NAMODA/BIRNIN MAGAJI FEDERAL CONSTITUECY OF ZAMFARA STATE,55000000,4,1,2015-01-01,localGovernment,753,1,2,1
3075,"COMPLETION OF EGEDE WATER SCHEME UDI LGA, ENUGU STATE",15000000,28,232,2016-01-01,localGovernment,256,2,2,1
3076,"SUPPLY /PROVISION OF 150 COMPUTERS WITH ACCESSORIES, FURNITURE AND FULL INTERNET FACILITIES FOR E- LEARNING IN OGBARU FEDERAL CONSTITUENCY, ANAMBRA STATE.",100000000,31,1,2017-01-01,localGovernment,86,1,2,1
3077,CONSTRUCTION OF ACCESS CULVERT IN RIKOTO - ABTOIR IN ZURU FED CONST OF KEBBI STATE,30000000,28,284,2017-01-01,localGovernment,453,5,2,1
3078,"SUPPLY OF 4 FULL OPTION TOYOTA AMBULANCE TO OGBARU FEDERAL CONSTITUENCY, ANAMBRA STATE",30000000,1,101,2017-01-01,localGovernment,71,6,2,1
3079,"SURFACE DRESSING & DRAINAGE
CONSTRUCTION OF OKUHAPA ROAD, OBANGEDE, KOGI STATE.",10000000,28,250,1/1/2018,localGovernment,788,5,2,1
3080,SKILL AQUISITION TRAINING AND RESETTLEMENT OF UNEMPLOYED YOUTHS IN CALABAR SOUTH LGA OF CROSS RIVER STATE,80000000,18,45,2017-01-01,localGovernment,182,1,2,1
3081,"PROCUREMENT OF TEACHING AND LEARNING MATERIALS FOR SCHOOLS IN DUNUKOFIA L.G.A IN ANAMBRA CENTRAL SENATORIAL, ANAMBRA STATE",,10,292,2017-01-01,localGovernment,78,1,2,1
3082,"""ESTABLISHMENT OF CASSAVA PROCESSING FACILITY AT NAGAZI,
KOGI STATE OR CASSAVA PROCESSING FACILITY""",50000000,5,1,2015-01-01,localGovernment,788,1,2,1
3083,"1 NO. SOLAR POWERED BOREHOLE IN BENDE FEDERAL CONSTITUENCY, ABIA STATE",15000000,28,275,2017-01-01,localGovernment,4,1,2,1
3084,"CONSTRUCTION OF PRIMARY HEALTHCARE CLINIC IN THE FOLLOWING LOCATION: KUVOH, NASARAWA LGA,  EDEGE- MBEKI, NASARAWA LGA,  GITATA, KARU LGA HADARI, KOKONA LGA IN NASARAWA WEST SENATORIAL DISTRICT, NASARAWA STATE. @ 21,800,000 EACH.",87200000,4,245,2015-01-01,localGovernment,513,1,2,1
3085,SUPPLY OF YOUTH EMPOWERMENT MATERIALS IN MUSAWA/MATAZU KATSINA STATE,10000000,26,27,2017-01-01,localGovernment,427,1,2,1
3086,"CONSTRUCTION OF 1NO. 300KVA TRANSFORMER RELIEF SUBSTATION IN ASUTA, KABBA/BUNU LGA, KOGI WEST SENATORIAL DISTRICT, KOGI STATE.",8162000,35,316,2017-01-01,localGovernment,463,5,2,1
3087,"CONSTRUCTION OF FIVE (5) MOTORIZED BOREHOLES IN VARIOUS LOCATIONS OF ADAVI, ADAVI LGA, KOGI CENTRAL SENATORIAL DISTRICT, KOGI STATE",28000000,28,250,,localGovernment,454,1,2,1
3088,"PROVISION OF MORE FACILITIES FOR COMMAND SCIENCE & TECHNICAL SCHOOL, MPU, ANINRI LGA, ENUGU
STATE.",50000000,10,173,6/1/2019,localGovernment,265,2,2,1
3089,"ECONOMIC AND HUMAN EMPOWERMENT IN JIGAWA SOUTH WEST SENATORIAL DISTRICT, JIGAWA STATE",30000000,29,244,,localGovernment,310,1,2,1
3090,"""STRATEGIC EMPOWERMENT PROGRAMME: 25 UNITS TRICYCLE
@N711,000 EACH N17,775,000, 50 UNITS WELDING MACHINES
@N47,400 EACH = N2,370,000, 50 UNITS WATER PUMP @N41,080 EACH = N2,054,000 AND 51 UNITS WEAVING AND DESIGN MACHINE @N86,900 EACH =N4,431,900, BASSA/JOS-NORTH FEDERAL CONSTITUENCY PLATEAU STATE""",26630900,3,2,,localGovernment,654,1,2,1
3091,"AKAMKPA TOWN INTERNAL ROADS, AKAMKPA, CROSS RIVER STATE.",100000000,28,231,2017-01-01,localGovernment,171,1,2,1
3092,TRAINING AND EMPOWERMENT FOR WOMEN AND YOUTH IN BORNO STATE.,62000000,23,255,2019-06-01,localGovernment,774,5,2,1
3093,"SUPPLY OF 158 MOTORCYCLES AT PATIGI LGA, KWARA STATE",17700000,36,60,2015-01-01,localGovernment,489,1,2,1
3094,"REHABILITATION AND FURNISHING OF ANGLICAN HIGH  SCHOOL, OSOGBO, OSHOGBO LGA, OSUN CENTRAL
SENATORIAL DISTRICT.",100000000,10,173,1/1/2018,localGovernment,617,5,2,1
3095,"GRINDING MACHINE - 300 NOS @ N63,200 FOR LOKOJA/KOGI FEDERAL CONSTITUENCY, KOGI STATE",11376540,3,2,,localGovernment,465,1,2,1
3096,"15 SEATER BUS FOR ACTIVITIES AT KANO MUNICIPAL, KANO STATE",12000000,3,2,2016,localGovernment,375,1,2,1
3097,"SUPPLY OF FERTILIZER NPK/UREA TO WASE FEDERAL CONSTITUENCY, PLATEAU STATE.",8000000,5,230,2017-01-01,localGovernment,666,1,2,1
3098,"SUPPLY OF TRICYCLES AND GRINDING MACHINES IN GUYUK FEDERAL CONSTITUENCY, ADAMAWA STATE",64428571,18,389,2019-07-01,localGovernment,24,5,2,1
3099,"TRAINING AND EMPOWERMENT OF UNEMPLOYED YOUTH AND WOMEN OF IFELODUN /BORIPE /ODO-OTIN FEDERAL
CONSTITUENCY.OSUN STATE",22000000,29,254,1/1/2018,localGovernment,603,5,2,1
3100,"RENOVATION OF LGEA PRIMARY SCHOOLS IN AJOBE ANKPA LGA, KOGI
STATE",3000000,28,240,6/1/2019,localGovernment,456,5,2,1
3101,TRAINING  & MANPOWER DEVELOPMENT FOR WOMEN & YOUTH IN AWE/DOMA/KEANA FEDERAL CONSTITUENCY OF NASARAWA STATE,100000000,31,69,,localGovernment,511,1,2,1
3102,"PAYMENT OF OUTSTANDING DEBT FOR THE FEASIBILITY STUDIES AND DESIGN OF EARTH DAM AT ATTE AND OGUGU COMMUNITIES IN AKOKO EDO FEDERAL CONSTITUENCY, EDO STATE.",20000000,28,295,2015-01-01,localGovernment,778,1,2,1
3103,"PROCUREMENT OF TRICYCLES, SEWING MACHINES, MOLDING MACHINE, GRINDING MACHINES, WATER PUMPS AND VULCANIZING MACHINES IN BORNO SOUTH SENATORIAL DISTRICT, BORNO STATE.",236000000,30,241,,localGovernment,143,1,2,1
3104,"SUPPLY OF MOTORCYCLE AND WHEEL CHAIRS AT AFIJIO, ATIBA, OYO EASE AND OYO WEST FEDERAL CONSTITUENCY, OYO STATE.",32476190,29,1,2017-01-01,localGovernment,618,5,2,1
3105,"SUPPLY OF AGRICULTURAL EQUIPMENT FOR FARMERS IN KEBBI CENTRAL SENATORIAL DISTRICT, KEBBI STATE",64285191,5,1,6/1/2019,localGovernment,787,5,2,1
3106,"TRAINING/EMPOWERMENT OF WOMEN AND YOUTHS ON SOAP AND BEAD MAKING PROCESS IN ABIA CENTRAL SENATORIAL DISTRICT, ABIA STATE",20000000,29,244,2019-06-01,localGovernment,767,5,2,1
3107,"EMPOWERMENT OF FARMERS ON POULTRY MANAGEMENT IN UYO FEDERAL CONSTITUENCY, AKWA IBOM STATE",46500000,5,388,2018-01-01,localGovernment,70,5,2,1
3108,"SUPPLY OF JUNIOR AND SENIOR SECONDARY SCHOOL TEXTBOOKS IN LINE WITH KOGI STATE SCHOOL CURRICULUM AND PROVISION OF NOTEBOOKS  IN OKENE/OGORI- MAGONGO FEDERAL CONSTITUENCY, KOGI STATE",35000000,29,254,6/1/2019,localGovernment,474,5,2,1
3109,CONSTRUCTION OF 3 CLASSROOMS WITH OFFICE AT OWORO,20000000,10,173,01/01/2017,localGovernment,804,1,3,1
3110,"CONSTRUCTION OF 1KM RURAL ACCESS ROAD WITH SURFACE DRESSING (WITHOUT ASPHALT) IN OTUKPO TOWNSHIP ROAD-OJIRA, BENUE SOUTH SENATORIAL DISTRICT, BENUE STATE.",36751000,22,297,2017-01-01,localGovernment,137,1,2,1
3111,"SKILL ACQUISITION AND EMPOWERMENT FOR YOUTHS OF EKITI SOUTH FEDERAL CONSISTUENCY 1 (EKITI SOUTH WEST/IKERE/ISE ORUN , EKITI STATE",50800000,27,288,2016-01-01,localGovernment,240,6,2,1
3112,"SUPPLY OF 50 UNITS SEWING MACHINE, ABI/YAKURR FEDERAL CONSTITUENCY, CROSS RIVER STATE",1817000,3,2,2016-01-01,localGovernment,173,1,2,1
3113,"SUPPLY OF EQUIPMENT TO ERHURE HEALTH CENTRE, OWAN WEST LGA, EDO STATE",5000000,23,229,2018-01-01,localGovernment,806,5,2,1
3114,"""SUPPLY OF AGRICULTURAL SEEDLINGS / PUMPING MACHINES IN DEMSA/ LAMURDE /NUMAN, FED. CONST.,
ADAMAWA STATE""",38000000,1,389,2019-07-01,localGovernment,27,5,2,1
3115,COMMUINITY SUPPORT PROGRAMMES IN TSAFE LGA ZAMFARA STATE,50244898,29,244,2017-01-01,localGovernment,746,1,2,1
3116,"WOMEN EMPOWERMENT PROGRAM KAURA NAMODA/B/MAGAJI, ZAMFARA STATE",60244898,29,35,1/1/2018,localGovernment,754,5,2,1
3117,"ENTREPRENEURSHIP TRAINING AND STRATEGIC MSMES INTERVENTION AT IKOT ABASI/MKPAT ENIN/EASTERN OBOLO LGA,
AKWA IBOM STATE.""",44000000,28,238,2018-01-01,localGovernment,52,5,2,1
3118,"CONSTRUCTION OF A COMPUTER ROOM OF ABOUT 65 SQUARE METER, FURNITURE WITH 25 COMPUTERS, 2 PRINTERS AND A GENERATOR AT JSS EMO-ENI GRAMMAR SCHOOL, ELLU, ISOKO NORTH AND SOUTH FEDERAL CONSTITUENCY, DELTA STATE",20000000,1,173,,localGovernment,187,1,2,1
3119,"PURCHASE OF MOTORCYCLES AT BIRNIWA /GURI /KIRIKASAMMA FEDERAL CONSTITUENCY, JIGAWA STATE.",10922000,29,244,6/1/2019,localGovernment,321,5,2,1
3120,"HIV/AIDS AWARENESS CAMPAIGN/FREE MEDICAL SERVICES IN ADO/OGBADIBO/OKPOKWU FEDERAL CONSTITUENCY, BENUE STATE.",40000000,29,194,2016-01-01,localGovernment,119,1,2,1
3121,"SUPPLY OF TRICYCLES TO MAYO, BELWA, JADA, GANYE AND TOUNGO FED. CONST., ADAMAWA STATE.",25000000,29,35,2015-01-01,localGovernment,30,1,2,1
3122,"DRILLING OF MOTORIZED SOLAR BOREHOLE WITH OVERHEAD TANKS AT GADAMA/JIKAS /ISAWADIGIJIN TOWNS IN GWARAM FED CONSTITUENCY,
JIGAWA STATE",36428571,29,244,6/1/2019,localGovernment,315,5,2,1
3123,"SUPPLY OF MOTORCYCLE, JING CHEN 125CC 4STROKE ENGINE TO DAWAKIN-KUDU/WARAWA LGA KANO STATE",14000000,3,122,2017-01-01,localGovernment,362,5,2,1
3124,CONSTRUCTION /COMPLETTION OF GWANI EARTH DAM IN JIGAWA STATE,38000000,28,236,2015-01-01,localGovernment,783,1,2,1
3125,"RENOVATION OF SCHOOLS IN OWO/OSE FEDERAL CONSTITUENCY, ONDO STATE.",50000000,10,237,2017-01-01,localGovernment,569,5,2,1
3126,"COMPLETION OF UMUKAFIA COMMUNITY SURFACE WATER PROJECT, UMUAHIA NORTH LGA, ABIA STATE.",15000000,23,354,2019-06-01,localGovernment,16,2,2,1
3127,"PROVISION OF SOLAR STREET LIGHTS IN AROCHUKWU AND ISUIKWUATO LGAs IN ABIA NORTH, ABIA STATE",20000000,23,247,,localGovernment,8,1,2,1
3128,SENSITIZATION TRAINING IN LOKOJA KOGI STATE,10000000,13,180,2017-01-01,localGovernment,465,5,2,1
3129,"REHABILITATION/ EXTENSION WORKS OF WATER SUPPLY SYSTEM AT PAJAT, LANGTANG NORTH LGA, PLATEAU SOUTH SENATORIAL DISTRICT, PLATEAU STATE",20000000,28,240,2016-01-01,localGovernment,658,1,2,1
3130,"SOLAR BOREHOLES IN VARIOUS LOCATIONS IN OGBARU, ANAMBRA STATE",50000000,28,232,1/1/2018,localGovernment,86,5,2,1
3131,"SUPPLY OF WOMEN EMPOWERMENT ITEMS : 50 NOS. OF DEEP FREEZERS, 30 NOS. OF HAIRDRESSING MACHINE, 50 NOS. OF 2.5KVA GENERATOR SET, 20 NOS. OF GRINDING MACHINES  TO AJAOKUTA FEDERAL CONSTITUENCY, KOGI STATE.",20000000,29,35,1/1/2018,localGovernment,455,5,2,1
3132,SUPPORT FOR INTERNALY DISPLACED PERSONS IN AKKO FED. CONST. GOMBE STATE.,45000000,36,219,2015-01-01,localGovernment,268,1,2,1
3133,"CONSTRUCTION OF 4 NOS BLOCKS OF 3 NOS BLOCKS OF 3 CLASSROOMS AT TUCHI, BURU, LAHU AND ABUCHI VILLAGE COMMUNITIES IN GURARA/SULEJA/TAFA FED.CONST.",37500000,10,237,2015-01-01,localGovernment,523,1,2,1
3134,"TRAINING OF THE YOUTHS ON AGRICULTURE IN OYO NORTH SENATORIAL
 DISTRICT, OYO STATE.",74000000,5,1,01/01/2018,localGovernment,796,5,2,1
3135,"FURNISHING  OF STAFFROOM AT SHANGA PRIMARY SCHOOL AND HEADMASTER'S OFFICE, KEBBI SOUTH SENATORIAL DISTRICT,
KEBBI STATE",30000000,18,45,1/1/2018,localGovernment,449,5,2,1
3136,"SUPPLY OF TRICYCLES IN KACHIA/KAGARKO FEDERAL CONSTITUENCY, KADUNA STATE",5000000,3,122,2017-01-01,localGovernment,338,5,2,1
3137,"CONSTRUCTION  OF A  BLOCK OF 2 CLASSROOMS AT CENTRAL PRIMARY SCHOOL JALINGO,  TARABA STATE.",10000000,10,173,01/01/2017,localGovernment,804,1,3,1
3138,GRANTS IN SUPPORT OF LESS PRIVILEDGE PERSONS IN MAIYAMA/KOKO-BESSE FED CONST KEBBI STATE,30000000,3,2,2017-01-01,localGovernment,446,5,2,1
3139,HIV &  AIDS AWARENESS CAMPAIGN/FREE MEDICAL SERVICES FOR APA AND AGATU LGA,50000000,4,194,2015-01-01,localGovernment,121,1,2,1
3140,"PROVISION OF FERTILIZER - UREA (600 BAGS) FOR  SHIRA/GIADE FED. CONST., BAUCHI STATE",2500000,28,236,2015-01-01,localGovernment,106,1,2,1
3141,"PROVISION OF SOLAR LIGHTING AT COMMUNITY  SECONDARY SCHOOL, OTUOKE/OTUABA, BAYELSA EAST SENATORIAL DISTRICT BAYELSA STATE",7014814,22,248,2016-01-01,localGovernment,111,1,2,1
3142,"SUPPLY OF EMPOWERMENT MATERIALS TRICYCLES IN LAGOS WEST SENATORIAL
DISTRICT, LAGOS STATE.",21600000,3,2,1/1/2018,localGovernment,790,5,2,1
3143,INTER TOWN CONNECTION AND DISTRIBUTION/ELECTRIFICATION OF TWO VILLAGES IN JAKUSKO LGA OF YOBE STATE,80000000,3,122,1/1/2018,localGovernment,737,1,2,1
3144,"PROCUREMENT OF EMPOWERMENT MATERIALS (MOTORCYCLES, GENERATORS, GRINDING MACHINES, HAIR DRYERS, CLIPPERS) IN KABBA- BUNU/IJUMU , KOGI STATE)",43000000,5,1,6/1/2019,localGovernment,463,5,2,1
3145,30 KM RURAL ELECTRIFICATION AND SUPPLY OF 500KVA TRANSFORMARS IN KALTUNGO/ SHONGOM FED.CONST.  GOMBE STATE,125000000,29,254,1/1/2018,localGovernment,272,5,2,1
3146,"PROVISION OF SOLAR STREET LIGHT AT VARIOUS LOCATIONS IN OKPOKO IN OGBARU FEDERAL CONSTITUENCY,
ANAMBRA STATE.",34000000,23,267,1/1/2018,localGovernment,86,5,2,1
3147,"CONSTRUCTION OF 20 NOS. HAND PUMP WATER PROJECTS AT VARIOUS COMMUNITIES IN OGBARU FEDERAL CONSTITUENCY, ANAMBRA STATE",30000000,28,232,2016-01-01,localGovernment,86,6,2,1
3148,"EMPOWERMENTOF YOUTH & WOMEN IN
MAKARFI/KUDAN FED. CONSTITUENCY, KADUNA STATE",25000000,3,127,6/1/2019,localGovernment,348,5,2,1
3149,"""HIV/AIDS AWERENESS CAMPAIGN AND HCT FREE MEDICATION MISSION AT
BURUKU, BENUE STATE.""",30000000,29,194,2019-06-01,localGovernment,122,5,2,1
3150,"STRATEGIC INTERVENTION. ONDO EAST/WEST FEDERAL CONSTITUENCY., ONDO STATE",34800000,23,229,2016-01-01,localGovernment,584,5,2,1
3151,"SUPPLY OF TRICYCLES AND MOTORCYCLES AT IBARAPA EAST/IDO FEDERAL CONSTITUENCY, OYO STATE",11000000,3,122,2015-01-01,localGovernment,618,1,2,1
3152,"FURNISHING AND EQUIPING OF THE NEWLY CONSTRUCTED FOUR HUNDRED (400) SITTER LIBRARY AT KADUNA STATE UNIVERSITY (KADSU), KAFANCHAN CAMPUS, JEMA'A LGA, KADUNA SOUTH SENATORIAL DISTRICT, KADUNA STATE",55000000,10,376,2015-01-01,localGovernment,337,1,2,1
3153,"CONSTRUCTION OF MODEL FENCING FOR VARIOUS SCHOOLS IN OSUN CENTRAL
SENATORIAL DISTRICT.",90000000,10,173,1/1/2018,localGovernment,795,5,2,1
3154,"CONSTRUCTION OF A BLOCK OF 3 CLASSROOMS AT SAINT BARNABAS ANGLICAN PRIMARY SCHOOL, ILISHAN, IKENNE, OGUN EAST SENATORIAL DISTRICT, OGUN STATE.",10000000,29,244,2016-01-01,localGovernment,564,6,2,1
3155,"ADVOCACY PROGRAM FOR YOUTH AND
WOMEN IN SABON GARI ZARIA, SABONGARI LGA KADUNA STATE",35000000,11,1,1/1/2018,localGovernment,349,5,2,1
3156,"PROVISION OF MOTORISED BOREHOLE IN IRA VIA OSUN, MOBA LGA ,EKITI NORTH SENATORIAL DISTRICT, EKITI STATE",9000000,28,295,2016-01-01,localGovernment,247,6,2,1
3157,"CONSTRUCTION OF SOLAR POWERED BOREHOLE WITH OVERHEAD TANK IN ISUANIOCHA, AWKA NORTH LGA, ANAMBRA CENTRAL SENATORIAL DISTRICT",8000000,28,232,1/1/2018,localGovernment,75,5,2,1
3158,"COMPLETION OF TECHNICAL BLOCK AT MBATIAV COMMUNITY TECHNICAL AND SCIENCE SECONDARY SCHOOL, AKPAGHER, GBOKO LGA. (GBOKO/TARKA FED.CONST. BENUE STATE",15000000,28,240,2017-01-01,localGovernment,123,1,2,1
3159,"INSTRUCTIONAL MATERIALS TO KWANDE/USHONGO LGA, BENUE STATE",20000000,10,173,01/01/2017,localGovernment,804,1,3,1
3160,"ENTREPRENEURSHIP DEVELOPMENT TRAINING FOR WOMEN ON MODERN AGRICULTURAL FARMING IN NKANU EAST/WEST,ENUGU STATE",50000000,23,278,2017-01-01,localGovernment,255,5,2,1
3161,"SUPPLY OF TWO HUNDRED (200) MOTORCYCLES FOR EMPOWERING YOUTHS IN IHIALA FEDERAL CONSTITUENCY,ANAMBRA STATE",30000000,3,122,2017-01-01,localGovernment,82,1,2,1
3162,"PROVISION OF TRACTOR SET FOR EMPOWERMENT IN KAGA/GUBIO/MAGUMERI FEDERAL CONSTITUENCY, BORNO STATE.",47900000,29,35,,localGovernment,155,1,2,1
3163,"SUPPLY OF WATER PUMP AND EMPOWERMENT MATERIALS, GWADABANAWA LGA, SOKOTO EAST SENATORIAL DISTRICT, SOKOTO STATE",23750000,3,122,2016-01-01,localGovernment,696,5,2,1
3164,"CONSTRUCTION OF UMUEZE/LATIN OGWUAMA ROAD (300 METRES) AHIAZU, IMO STATE",10000000,22,248,2015-01-01,localGovernment,280,1,2,1
3165,"BLOCK OF CLASSROOMS L.E.A. PRI SCH ZEYIT FOROM BARKIN LADI LGA 16,600,000, L.E.A. RANTYA GYEL, JOS SOUTH LGA 16,600,000, L.E.A. LAMINGO, JOS EAST LGA 16,600,000, L.E.A. PRI SCH GOL HOSS, RIYOM LGA 16,600,000, METHODIST PRI SCH, JOS NORTH LGA 17,600,000, KPASHO L.E.A. PRI SCH KWALL, BASSA LGA 16,600,000, PLATEAU NORTH SENATORIAL DISTRICT, PLATEAU STATE",80000000,30,265,2016-01-01,localGovernment,650,1,2,1
3166,"SUPPLY OF GRAINS TO AIDS THE COMMUNITIES IN NORTHERN KADUNA
ZONE",20000000,29,239,,localGovernment,784,5,2,1
3167,"PROVISION AND INSTALLATION OF ALL- IN-ONE SOLAR STREET LIGHT WITH LITHIUM ION BATTERIES AND MOTION SENSORS , SELECTED LOCATIONS BIRNIN KUDU /BUJI FEDERAL CONSITUENCY/ JIGAWA STATE",250000000,29,244,6/1/2019,localGovernment,307,5,2,1
3168,"SUPPLY OF TRICYCLES AT IIDANRE/IFEDORE FEDERAL CONSTITUENCY, ONDO STATE",20000000,3,122,2016-01-01,localGovernment,576,5,2,1
3169,"""PROVISION OF PHONICS BOOKS TO TWO PRIMARY SCHOOLS, DELTA STATE""",13000000,29,239,2018-01-01,localGovernment,776,5,2,1
3170,"ITUKU EROSION CONTROL PROJECT, AWGU L.G.A",30000000,28,232,2015-01-01,localGovernment,256,1,2,1
3171,"CONSTRUCION OF DRAINAGE AND EROSION CONTROL IN ITA-ELEPA, OJA GBOROIN KWARA CENTRAL SENATORIAL DISTRICT, KWARA STATE",,11,264,2017-01-01,localGovernment,789,5,2,1
3172,"COMPLETION/SUPPLY OF 345 PCS & 280 PCS OF BODY BULLET PROOF VEST WITH CERAMIC PLATE LEVEL IV, ENUGU NORTH/SOUTH FEDERAL CONSTITUENCY, ENUGU STATE",68000000,1,1,2015-01-01,localGovernment,254,1,2,1
3173,"SUPPLY OF HOME SOLAR SYSTEMS TO RESIDENTS IN EKITI SOUTH SENATORIAL DISTRICT, EKITI STATE.","90,000,000",3,49,01/06/2019,localGovernment,240,5,2,1
3174,"CONSTRUCTION OF A BLOCK OF THREE(3) CLASSROOM WITH VIP TOILET AND FURNITURES AT HOLY ANGELS COMPREHENSIVE SECONDARY SCHOOL AMECHI UWANI IN ENUGU SOUTH L.G.A IN ENUGU EAST SENATORIAL DISTRICT, ENUGU STATE.",56000000,18,45,2017-01-01,localGovernment,264,1,2,1
3175,"AGRICULTURAL TRADE FAIR IN SAGBAMA TOWN, SAGBAMA LGA IN BAYELSA WEST SENATORIAL DISTRICT OF BAYELSA STATE.",20000000,5,317,2018-01-01,localGovernment,116,5,2,1
3176,"PROVISION OF MOTORISE BOLE HOLES  (5) WUKARI/IBI FEDERAL CONSTITUENCY, TARABA STATE.",40000000,28,240,2016-01-01,localGovernment,726,6,2,1
3177,"RENOVATION OF TWO CLASSROOM BLOCKS AT OVIRI- OLOMU GRAMMAR SCHOOL, OVIRI-OLOMU UGHELLI SOUTH LGA, DELTA CENTRAL SENATORIAL DISTRICT, DELTA STATE.",27000000,10,237,2015-01-01,localGovernment,198,1,2,1
3178,"WATER RESOURCES TREATMENT SYSTEM AND RETICULATION AGHORO TOWN, SAGBAMA LGA, BAYELSA WEST SENATORIAL DISTRICT, BAYELSA STATE.",28000000,28,280,2017-01-01,localGovernment,116,1,2,1
3179,SUPPLY OF SMALL GRINDING MACHINES AND GENERATORS FOR BARBING SALOON IN GOMBE KWAMI FUNAKAYE FEDERAL CONSTITUENCY OF GOMBE STATE.,13000000,29,244,1/1/2018,localGovernment,275,5,2,1
